ids	maltype	system calls frequency_1gram-scaled
delay_0_2021-11-30	delay	[0.0, 25.0, 5.0, 2.5840363916585085, 10.0, 1.5085783977832106, 0.0, 1.5089780599101579, 0.0, 10.0, 0.0, 30.0, 1.5430916433560078, 10.0, 1.5099631073372164, 5.0, 16.75578544462206]
delay_100_2021-11-30	delay	[0.0, 50.0, 10.0, -0.498341420471018, 20.0, 0.13967800728237117, 0.0, 0.14882155260660568, 0.0, 20.0, 0.0, 60.0, 0.14236505585166373, 20.0, 0.14763693562797278, 10.0, 29.227776018852964]
delay_101_2021-11-30	delay	[0.0, 0.0, 0.0, -0.05089948000060286, 0.0, -0.8266046213064565, 0.0, -0.8204421958347998, 0.0, 0.0, 0.0, 0.0, -0.7809672653698259, 0.0, -0.8161363666982474, 0.0, -1.2630777491263936]
delay_102_2021-11-30	delay	[0.0, 25.0, 5.0, -0.05089948000060286, 10.0, 1.1663533001580006, 0.0, 1.1547517414716066, 0.0, 10.0, 0.0, 30.0, 1.1756090802406012, 10.0, 1.1569016260756895, 5.0, 15.14030115828599]
delay_103_2021-11-30	delay	[0.0, 25.0, 5.0, -0.6972045051245358, 10.0, -1.1285679427404651, 0.0, -1.1076842397185849, 0.0, 10.0, 0.0, 30.0, -1.1362374170221827, 10.0, -1.1102200748642055, 5.0, 13.457034314481275]
delay_104_2021-11-30	delay	[0.0, 25.0, 5.0, 1.3908578837374015, 10.0, 0.6026884334811845, 0.0, 0.6121402485598828, 0.0, 10.0, 0.0, 30.0, 0.651585606553375, 10.0, 0.6166410698009246, 5.0, 14.665823256005467]
delay_105_2021-11-30	delay	[0.0, 25.0, 5.0, 0.4462582316331917, 10.0, 0.5221648810987821, 0.0, 0.5016226737142045, 0.0, 10.0, 0.0, 30.0, 0.4724702384286452, 10.0, 0.4986855236097873, 5.0, 14.936953485880052]
delay_106_2021-11-30	delay	[0.0, 25.0, 5.0, 0.6451213162867095, 10.0, 1.5488401739744115, 0.0, 1.557693895949988, 0.0, 10.0, 0.0, 30.0, 1.5523434702219545, 10.0, 1.558071256722339, 5.0, 15.852018011706775]
delay_107_2021-11-30	delay	[0.0, 25.0, 5.0, -0.9954991321048126, 10.0, -0.7662119570196548, 0.0, -0.7599360909661811, 0.0, 10.0, 0.0, 30.0, -0.7687548539067761, 10.0, -0.7603792228502184, 5.0, 13.649084893975774]
delay_108_2021-11-30	delay	[0.0, 25.0, 5.0, -0.29947833581750016, 10.0, -0.26293975462964037, 0.0, -0.2717412234180972, 0.0, 10.0, 0.0, 30.0, -0.3009824875645064, 10.0, -0.2732590491598565, 5.0, 14.134859889167737]
delay_109_2021-11-30	delay	[0.0, 25.0, 5.0, -1.144646445594951, 10.0, -1.4506621522700744, 0.0, -1.4643722626378721, 0.0, 10.0, 0.0, 30.0, -1.4385871190013237, 10.0, -1.4654957387334158, 5.0, 13.411845942835512]
delay_10_2021-11-30	delay	[0.0, 25.0, 5.0, -0.0011837088372234046, 10.0, -0.10189264986483576, 0.0, -0.09151854274947067, 0.0, 10.0, 0.0, 30.0, -0.09892258881222854, 10.0, -0.0927025219696686, 5.0, 14.372098840308]
delay_110_2021-11-30	delay	[0.0, 25.0, 5.0, -0.3491941069808796, 10.0, -1.0279135022624624, 0.0, -1.017637681081133, 0.0, 10.0, 0.0, 30.0, -1.022624983108356, 10.0, -1.0172244053415, 5.0, 13.332766292455425]
delay_111_2021-11-30	delay	[0.0, 25.0, 5.0, -0.7966360474512948, 10.0, -0.7460810689240542, 0.0, -0.7502188364369596, 0.0, 10.0, 0.0, 30.0, -0.6899292890089095, 10.0, -0.7442760766125205, 5.0, 13.298875013721101]
delay_112_2021-11-30	delay	[0.0, 25.0, 5.0, -0.15033102232736179, 10.0, 0.5020339930031815, 0.0, 0.5027887442577111, 0.0, 10.0, 0.0, 30.0, 0.49763520750402046, 10.0, 0.504724203448924, 5.0, 14.790091278031317]
delay_113_2021-11-30	delay	[0.0, 10.0, 5.0, -0.15033102232736179, 10.0, -0.0012382093868328658, 0.0, -0.0008241671434041254, 0.0, 10.0, 0.0, 20.0, -0.02638826618320571, 10.0, -0.002726192366531506, 5.0, 0.013493749866443604]
delay_114_2021-11-30	delay	[0.0, 25.0, 5.0, 1.440573654900781, 10.0, 1.4280548454008082, 0.0, 1.4325356576136161, 0.0, 10.0, 0.0, 30.0, 1.426518624845078, 10.0, 1.4332718733801801, 5.0, 15.626076153477955]
delay_115_2021-11-30	delay	[0.0, 25.0, 5.0, -0.7966360474512948, 10.0, -0.7460810689240542, 0.0, -0.7616204150845794, 0.0, 10.0, 0.0, 30.0, -0.7480307617270553, 10.0, -0.7631972734418155, 5.0, 13.976700588407564]
delay_116_2021-11-30	delay	[0.0, 25.0, 5.0, 0.8439844009402274, 10.0, 0.46177221681198044, 0.0, 0.4439669635074908, 0.0, 10.0, 0.0, 30.0, 0.46580892308516353, 10.0, 0.4441361157295856, 5.0, 15.095112786640225]
delay_117_2021-11-30	delay	[0.0, 40.0, 7.0, -0.8463518186146742, 14.0, 0.3007251120471758, 0.0, 0.29691251163194005, 0.0, 14.0, 0.0, 45.0, 0.29668552797565617, 14.0, 0.29518201303087993, 7.0, 21.082572029703975]
delay_118_2021-11-30	delay	[0.0, 25.0, 5.0, -1.3435095302484688, 10.0, -1.1285679427404651, 0.0, -1.123231846965339, 0.0, 10.0, 0.0, 30.0, -1.172874651411332, 10.0, -1.1281348250536445, 5.0, 13.60389652233001]
delay_119_2021-11-30	delay	[0.0, 25.0, 5.0, 0.29711091814305335, 10.0, 1.0858297477755983, 0.0, 1.0903587347912993, 0.0, 10.0, 0.0, 30.0, 1.1019645383876648, 10.0, 1.0914825944850417, 5.0, 15.47921394562922]
delay_11_2021-11-30	delay	[0.0, 25.0, 5.0, -0.10061525116398233, 10.0, -1.28961504750527, 0.0, -1.2845382721504146, 0.0, 10.0, 0.0, 30.0, -1.262062262399059, 10.0, -1.284134054231343, 5.0, 13.016447690935076]
delay_120_2021-11-30	delay	[0.0, 25.0, 5.0, 0.2473951469796739, 10.0, 0.03902356680436829, 0.0, 0.055665472519803035, 0.0, 10.0, 1.0, 30.0, 0.007658456683478475, 10.0, 0.051621926185698955, 5.0, 14.462475583599527]
delay_121_2021-11-30	delay	[0.0, 25.0, 5.0, -0.15033102232736179, 10.0, -0.0012382093868328658, 0.0, 0.006820073086250055, 0.0, 10.0, 0.0, 30.0, -0.0015933701824683145, 10.0, 0.006533116720144795, 5.0, 14.15745407499062]
delay_122_2021-11-30	delay	[0.0, 25.0, 5.0, -0.05089948000060286, 10.0, 0.7436046501503885, 0.0, 0.7484409387564285, 0.0, 10.0, 0.0, 30.0, 0.7222695638092085, 10.0, 0.746472686342364, 5.0, 15.287163366134724]
delay_123_2021-11-30	delay	[0.0, 25.0, 5.0, -0.10061525116398233, 10.0, 1.4683166215920094, 0.0, 1.4685542810685968, 0.0, 10.0, 0.0, 30.0, 1.4801792206675695, 10.0, 1.4693026630870292, 5.0, 16.01017731246695]
delay_124_2021-11-30	delay	[0.0, 25.0, 5.0, -0.9457833609414331, 10.0, -0.40385597129884443, 0.0, -0.4060984627087986, 0.0, 10.0, 0.0, 30.0, -0.3794379793877352, 10.0, -0.41033708150826, 5.0, 14.304316282839354]
delay_125_2021-11-30	delay	[0.0, 25.0, 5.0, 2.43488907816837, 10.0, 0.8039973144371902, 0.0, 0.8035053810886832, 0.0, 10.0, 0.0, 30.0, 0.8173783439911415, 10.0, 0.8060543274218462, 5.0, 15.129004065374549]
delay_126_2021-11-30	delay	[0.0, 50.0, 10.0, -0.20004679349074125, 20.0, 0.7033428739591874, 0.0, 0.7058145822215772, 0.0, 20.0, 0.0, 60.0, 0.680821379449767, 20.0, 0.7066173994040617, 10.0, 29.577985899107635]
delay_127_2021-11-30	delay	[0.0, 25.0, 5.0, 0.4462582316331917, 10.0, -0.28307064272524096, 0.0, -0.2757576886235087, 0.0, 10.0, 0.0, 30.0, -0.2495423301898423, 10.0, -0.2732590491598565, 5.0, 14.021888960053328]
delay_128_2021-11-30	delay	[0.0, 25.0, 5.0, -1.144646445594951, 10.0, -0.665557516541652, 0.0, -0.6796067868579507, 0.0, 10.0, 0.0, 30.0, -0.653662127694398, 10.0, -0.6794609130057864, 5.0, 13.739461637267302]
delay_129_2021-11-30	delay	[0.0, 25.0, 5.0, -0.44862564930763854, 10.0, 0.6832119858635868, 0.0, 0.6839183686823983, 0.0, 10.0, 0.0, 30.0, 0.6556564103743916, 10.0, 0.6838717053433133, 5.0, 14.880468021322846]
delay_12_2021-11-30	delay	[0.0, 10.0, 5.0, 1.241710570247263, 10.0, 0.7436046501503885, 0.0, 0.7533643477179006, 0.0, 10.0, 0.0, 20.0, 0.7378126329439991, 10.0, 0.7545242594612129, 5.0, 0.3862978159439978]
delay_130_2021-11-30	delay	[0.0, 25.0, 5.0, 4.125225297723272, 10.0, 1.5085783977832106, 0.0, 1.5094963134850496, 0.0, 10.0, 0.0, 30.0, 1.5197770396538217, 10.0, 1.5101643966651876, 5.0, 16.25871335651865]
delay_131_2021-11-30	delay	[0.0, 25.0, 5.0, -0.8463518186146742, 10.0, 0.15980889537797174, 0.0, 0.15672491962370574, 0.0, 10.0, 0.0, 30.0, 0.1975059439727066, 10.0, 0.16172718858595844, 5.0, 14.191345353724943]
delay_132_2021-11-30	delay	[0.0, 25.0, 5.0, 0.3965424604698123, 10.0, 0.9046517549151931, 0.0, 0.9092291103666121, 0.0, 10.0, 0.0, 30.0, 0.8991644934861112, 10.0, 0.9089131740151417, 5.0, 15.434025573983456]
delay_133_2021-11-30	delay	[0.0, 25.0, 5.0, -0.3491941069808796, 10.0, -0.8869972855932583, 0.0, -0.8837986953653234, 0.0, 10.0, 0.0, 30.0, -0.8201950112814402, 10.0, -0.8793412156812117, 5.0, 13.671679079798656]
delay_134_2021-11-30	delay	[0.0, 25.0, 5.0, -0.44862564930763854, 10.0, -0.3434633070120427, 0.0, -0.35453223200706363, 0.0, 10.0, 0.0, 30.0, -0.32059636052031365, 10.0, -0.35216446572457627, 5.0, 14.247830818282148]
delay_135_2021-11-30	delay	[0.0, 25.0, 5.0, -0.2497625646541207, 10.0, 0.5624266572899833, 0.0, 0.5671817509380184, 0.0, 10.0, 0.0, 30.0, 0.5638782878641995, 10.0, 0.5673251844479746, 5.0, 14.857873835499964]
