ids	maltype	system calls hashing_1gram
delay_0_2021-11-30	delay	[0.0, 0.808956638440512, 9.692166038944612e-05, 0.0, 0.0, 0.0, 0.00033922581136306145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.692166038944612e-05, 0.0, 0.0, -0.023891189285998468, 0.0, -0.2756742786457016, -0.5185696517476925, 0.0, -0.00029076498116833836, -0.01036092549563179, 0.0, 0.0, 0.0, 0.0, -9.692166038944612e-05]
delay_100_2021-11-30	delay	[0.0, 0.8090913349366392, 0.00022176911067650832, 0.0, 0.0, 0.0, 0.0007761918873677792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00022176911067650832, 0.0, 0.0, -0.039574697800222915, 0.0, -0.27410662079616427, -0.5182300578288647, 0.0, -0.000665307332029525, -0.010345529013059114, 0.0, 0.0, 0.0, 0.0, -0.00022176911067650832]
delay_101_2021-11-30	delay	[0.0, 0.8095767824834387, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010755456139641933, 0.0, -0.2746473719520519, -0.5185860622364366, 0.0, 0.0, -0.010347490561931377, 0.0, 0.0, 0.0, 0.0, 0.0]
delay_102_2021-11-30	delay	[0.0, 0.8089929509738496, 0.00010020846403164206, 0.0, 0.0, 0.0, 0.0003507296241107472, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010020846403164206, 0.0, 0.0, -0.023268405348147288, 0.0, -0.27560333862622516, -0.5185788013637477, 0.0, -0.0003006253920949262, -0.010371576027274954, 0.0, 0.0, 0.0, 0.0, -0.00010020846403164206]
delay_103_2021-11-30	delay	[0.0, 0.8100825452870132, 0.000128037829788208, 0.0, 0.0, 0.0, 0.00044813240425872796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000128037829788208, 0.0, 0.0, -0.027822620412977596, 0.0, -0.2723236601765396, -0.5183867614635177, 0.0, -0.00038411348936462396, -0.010332652863908385, 0.0, 0.0, 0.0, 0.0, -0.000128037829788208]
delay_104_2021-11-30	delay	[0.0, 0.8090176796624896, 0.00010569453505382459, 0.0, 0.0, 0.0, 0.00036993087268838605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010569453505382459, 0.0, 0.0, -0.024098353992272007, 0.0, -0.27541881944325614, -0.5186008056950957, 0.0, -0.0003170836051614738, -0.010347494981769428, 0.0, 0.0, 0.0, 0.0, -0.00010569453505382459]
delay_105_2021-11-30	delay	[0.0, 0.8095978150619261, 0.00010696232197937984, 0.0, 0.0, 0.0, 0.00037436812692782944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010696232197937984, 0.0, 0.0, -0.024644118984049116, 0.0, -0.27374867064182684, -0.5185533369560335, 0.0, -0.0003208869659381395, -0.010386041464197783, 0.0, 0.0, 0.0, 0.0, -0.00010696232197937984]
delay_106_2021-11-30	delay	[0.0, 0.8091194858266456, 9.650642118136062e-05, 0.0, 0.0, 0.0, 0.0003377724741347622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.650642118136062e-05, 0.0, 0.0, -0.02301678145175451, 0.0, -0.2751108548617047, -0.5186544593549863, 0.0, -0.00028951926354408187, -0.010355138992759994, 0.0, 0.0, 0.0, 0.0, -9.650642118136062e-05]
delay_107_2021-11-30	delay	[0.0, 0.8097348545803441, 0.0001227745295256234, 0.0, 0.0, 0.0, 0.000429710853339682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001227745295256234, 0.0, 0.0, -0.026887621966111528, 0.0, -0.27339432234765826, -0.5184154509219449, 0.0, -0.0003683235885768703, -0.010349892839010055, 0.0, 0.0, 0.0, 0.0, -0.0001227745295256234]
delay_108_2021-11-30	delay	[0.0, 0.8097750113978104, 0.00011614506553230883, 0.0, 0.0, 0.0, 0.0004065077293630809, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011614506553230883, 0.0, 0.0, -0.02593519313336456, 0.0, -0.2731499651188839, -0.5185296450689928, 0.0, -0.0003484351965969265, -0.01037175435203518, 0.0, 0.0, 0.0, 0.0, -0.00011614506553230883]
