ids	maltype	system calls tfidf_1gram-scaled
delay_0_2021-11-30	delay	[0.0, 0.0003663096154118144, 0.0001602173778904238, 2.3023448074871617, 0.0003204347557808476, -0.1444762576842917, 0.0, -1.9629614396928936, 0.0, 0.00016431946011665136, 0.0, 0.0004395050999687341, 1.57085302655963, 0.00011911909066713069, -1.0512603848087867, 0.0001602173778904238, 30.46387854760749]
delay_100_2021-11-30	delay	[0.0, 0.0008382962333300196, 0.0003666560165191416, -0.515155508822231, 0.0007333120330382832, -0.9996448529879953, 0.0, -1.3625024579368223, 0.0, 0.0003760435944979251, 0.0, 0.0010058034360329831, -0.12425725485056986, 0.00027260295887043785, -3.285451696980413, 0.0003666560165191416, 67.82540903439829]
delay_101_2021-11-30	delay	[0.0, 0.0, 0.0, 0.14945018655827402, 0.0, -0.9012424041878663, 0.0, -0.3226589188114194, 0.0, 0.0, 0.0, 0.0, 0.41392971196125544, 0.0, -0.3584084881956792, 0.0, -0.8126281264053058]
delay_102_2021-11-30	delay	[0.0, 0.00037878485609756936, 0.0001656738285734793, -0.17221540539577154, 0.0003313476571469586, 0.6079659594222796, 0.0, -1.6220591874980816, 0.0, 0.0001699156135564238, 0.0, 0.0004544731261248663, 1.1372001170421475, 0.00012317587559392023, -0.3420200260136607, 0.0001656738285734793, 28.98861459595976]
delay_103_2021-11-30	delay	[0.0, 0.00048399108047806846, 0.00021168917924628477, -0.6065246321539771, 0.00042337835849256953, -1.7965802580609591, 0.0, 0.9099736277641116, 0.0, 0.0002171091057929842, 0.0, 0.0005807015138555614, -1.5784682253661702, 0.00015738756224767706, -1.8974820391848253, 0.00021168917924628477, 39.836571082551956]
delay_104_2021-11-30	delay	[0.0, 0.0003994864715006638, 0.00017472835075480676, 1.4067120061690113, 0.0003494567015096135, -0.9468941900966248, 0.0, -1.7299296782030344, 0.0, 0.00017920196074322858, 0.0, 0.00047931130990287767, 1.2283209749889006, 0.00012990776986697935, -0.5518280917662999, 0.00017472835075480676, 30.960108555919117]
delay_105_2021-11-30	delay	[0.0, 0.0004043004487931327, 0.00017683389968547382, 0.44527795384281343, 0.00035366779937094764, 1.4855486858457143, 0.0, -0.3050402335081811, 0.0, 0.0001813614185254738, 0.0, 0.00048508720953028753, -0.2670397284175717, 0.00013147321225081204, -0.7166826675581952, 0.00017683389968547382, 32.26300859888376]
delay_106_2021-11-30	delay	[0.0, 0.0003647787422343092, 0.0001595478009094676, 0.4397344133142912, 0.0003190956018189352, -0.4363214218079072, 0.0, -1.396670198850233, 0.0, 0.00016363273980287552, 0.0, 0.0004376683298141684, 0.8324709027650223, 0.0001186212707542515, 0.16065056496873711, 0.0001595478009094676, 28.387468576681584]
delay_107_2021-11-30	delay	[0.0, 0.0004641057518783792, 0.00020299168654424384, -1.0066723503473494, 0.0004059833730884877, -0.7101564389229303, 0.0, 0.15763181243849006, 0.0, 0.00020818892919300693, 0.0, 0.0005568427261895807, -0.7744593750676718, 0.0001509211137550567, -1.5485654603252754, 0.00020299168654424384, 37.61114507935678]
delay_108_2021-11-30	delay	[0.0, 0.00043902660658419685, 0.00019202250984313654, -0.23819865153319794, 0.0003840450196862731, 0.6218412186414602, 0.0, 0.1701487363993729, 0.0, 0.00019693890614817317, 0.0, 0.0005267523005062189, -0.8547901823210646, 0.00014276570407848206, -0.7495193714179063, 0.00019202250984313654, 35.34009268229782]
