ids	maltype	system calls hashing_1gram
normal_0_2021-12-11	normal	[0.0, 0.7812519265202311, 0.0, 0.020015186764004628, 0.2604233329745433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010012111482851976, 0.0, -0.265366135304074, -0.500804370579984, 0.0, 0.0, -0.01000307528115265, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_100_2021-12-11	normal	[0.0, 0.7810532068069933, 0.0, 0.020044045084034776, 0.26035758414615817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010046454581368965, 0.0, -0.26627991048498073, -0.500661350392541, 0.0, 0.0, -0.010017136134147071, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_101_2021-12-11	normal	[0.0, 0.7808641992769307, 0.0, 0.020020281166910674, 0.26028196361169237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010042180356699135, 0.0, -0.26714762930679203, -0.5005344918355472, 0.0, 0.0, -0.010005563472991938, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_102_2021-12-11	normal	[0.0, 0.7812476479469539, 0.0, 0.02000180846214524, 0.2604189480602432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01000550234796047, 0.0, -0.26539411053289635, -0.5007993027232384, 0.0, 0.0, -0.009996306114184771, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_103_2021-12-11	normal	[0.0, 0.7812954080620794, 0.0, 0.02000785395004238, 0.2604353863975425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009998551409747132, 0.0, -0.2651981372303575, -0.5008199143228502, 0.0, 0.0, -0.009998551409747132, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_104_2021-12-11	normal	[0.0, 0.7812495271476075, 0.0, 0.020015425336627438, 0.2604125821460562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.01001360302303315, 0.0, -0.26539582223869507, -0.5007979582460461, 0.0, 0.0, -0.010001822313594288, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_105_2021-12-11	normal	[0.0, 0.7812783369293684, 0.0, 0.02000864472960357, 0.2604334942115528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010032004496414408, 0.0, -0.2652391122595041, -0.500825125135567, 0.0, 0.0, -0.009998785938479261, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_106_2021-12-11	normal	[0.0, 0.7812895816670191, 0.0, 0.02004265139572736, 0.260429860555673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010035703496569365, 0.0, -0.265203289725961, -0.5008266549147559, 0.0, 0.0, -0.010016533098295116, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_107_2021-12-11	normal	[0.0, 0.7809450876259812, 0.0, 0.019993177845182442, 0.2603058538172675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010028702792466457, 0.0, -0.26680203092345806, -0.5005818282237808, 0.0, 0.0, -0.009992001226894759, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_108_2021-12-11	normal	[0.0, 0.7809567376419077, 0.0, 0.02001805585940942, 0.26031159199295645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010069422503060031, 0.0, -0.2667353784316589, -0.5005941472949844, 0.0, 0.0, -0.010003537513945135, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_109_2021-12-11	normal	[0.0, 0.7812633619279543, 0.0, 0.020186231191393154, 0.2604279345603532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010149330416735899, 0.0, -0.2652521882931823, -0.5008331719541549, 0.0, 0.0, -0.010088005157420275, 0.0, 0.0, 0.0, 0.0, 0.0]
