ids	maltype	system calls frequency_1gram-scaled
delay_0_2021-11-23	delay	[0.9670437719145232, 25.0, 5.0, 1.584560733491055, 10.0, 0.8780666977262797, 0.8782481111780703, 0.9668068552153073, 0.0, 10.0, 0.0, 30.0, 0.9583352585114631, 10.0, 0.9668409234007386, 5.0, 15.03526656494571]
delay_100_2021-11-23	delay	[0.520502629265618, 50.0, 10.0, -0.5798758734633248, 20.0, 0.4588222473160854, 0.45897975719027445, 0.5202657008195399, 0.0, 20.0, 0.0, 60.0, 0.5137296909760696, 20.0, 0.5199709868123423, 10.0, 28.788033078072093]
delay_101_2021-11-23	delay	[0.6382154806229225, 25.0, 5.0, 2.8130247536543513, 10.0, 0.5470842368761263, 0.547246779082442, 0.6384050511229091, 0.0, 10.0, 0.0, 30.0, 0.6467776985218393, 10.0, 0.6383970643002845, 5.0, 14.747366460806187]
delay_102_2021-11-23	delay	[1.0762267065068056, 50.0, 10.0, 1.935550453537711, 20.0, 1.010459682066341, 1.0106486440163218, 1.0762741232461066, 0.0, 20.0, 0.0, 60.0, 1.0634390136886855, 20.0, 1.0761743619804307, 10.0, 29.341687124494253]
delay_103_2021-11-23	delay	[1.151289974039, 25.0, 5.0, -0.5798758734633248, 10.0, 1.0766561742363716, 1.0768489104354473, 1.1511952274697836, 0.0, 10.0, 0.0, 30.0, 1.1493571627621293, 10.0, 1.151354961734012, 5.0, 15.301020507228346]
delay_104_2021-11-23	delay	[1.0578873854620083, 50.0, 10.0, -0.5798758734633248, 20.0, 0.9663286872863206, 0.966515133070238, 1.0579348017188688, 0.0, 20.0, 0.0, 60.0, 1.0467558779462691, 20.0, 1.057767312483241, 10.0, 29.319540962637365]
delay_105_2021-11-23	delay	[-0.262970225601659, 25.0, 5.0, -0.4043810134399967, 10.0, -0.3355356587242827, -0.3354234398392336, -0.2627806788085679, 0.0, 10.0, 0.0, 30.0, -0.2607848858656054, 10.0, -0.26288304601993495, 5.0, 13.87259306745918]
delay_106_2021-11-23	delay	[-0.9615704086569663, 25.0, 5.0, -0.4043810134399967, 10.0, -1.0195660778145996, -1.0194928595035322, -0.9618073760909583, 0.0, 10.0, 0.0, 30.0, -0.9656473709826925, 10.0, -0.9616856118710698, 5.0, 13.130696645253488]
delay_107_2021-11-23	delay	[0.9137317921331353, 25.0, 5.0, -0.5798758734633248, 10.0, 0.8339357029462592, 0.8341146002319866, 0.9136370393146332, 0.0, 10.0, 0.0, 30.0, 0.9253860654201909, 10.0, 0.9136157200353713, 5.0, 15.101705050516369]
delay_108_2021-11-23	delay	[-0.36149076423766385, 25.0, 5.0, -0.5798758734633248, 10.0, -0.4458631456743338, -0.44575721720444306, -0.361727715885758, 0.0, 10.0, 0.0, 30.0, -0.36630571943638823, 10.0, -0.36179321560724254, 5.0, 13.706496853532531]
