ids	maltype	system calls tfidf_1gram-scaled
normal_0_2021-12-11	normal	[0.7914631519634018, 0.0, 0.0, 4.020945492833707, 0.0, -0.3303836564798568, -0.3320341324288798, 0.9043832214752824, 0.0, 0.0, 0.0, 0.0, -0.7285611801389436, 0.0, 0.5026832862528339, 0.0, -0.4117990963076173]
normal_100_2021-12-11	normal	[0.7543643152633129, 0.0, 0.0, -0.585071865049489, 0.0, -0.3977701056471259, -0.3936697159650363, 0.6429426494201389, 0.0, 0.0, 0.0, 0.0, -0.6585613018994704, 0.0, 0.9543599742947039, 0.0, -0.4671821217410147]
normal_101_2021-12-11	normal	[0.18001232923801294, 0.0, 0.0, -0.41803828058589804, 0.0, -0.3141669330721418, -0.3147710691580974, 0.2550369974674374, 0.0, 0.0, 0.0, 0.0, -0.21835993979969628, 0.0, 0.39804743909958645, 0.0, -0.39365418286856535]
normal_102_2021-12-11	normal	[0.57384505216319, 0.0, 0.0, 0.5815120929982699, 0.0, -0.34053982854439985, -0.3421580182945498, 0.673277977800802, 0.0, 0.0, 0.0, 0.0, -0.5193833203771469, 0.0, 0.4004135532902932, 0.0, -0.42180005931284725]
normal_103_2021-12-11	normal	[0.575965030204374, 0.0, 0.0, -0.585071865049489, 0.0, -0.3862860317698472, -0.38387407922265143, 0.46789893940209076, 0.0, 0.0, 0.0, 0.0, -0.4675800203815326, 0.0, 0.727794562296594, 0.0, -0.45914766738027146]
normal_104_2021-12-11	normal	[-0.6456152548668584, 0.0, 0.0, -0.585071865049489, 0.0, -0.2991394460786966, -0.3007764619217025, -0.2755998170400425, 0.0, 0.0, 0.0, 0.0, 0.4844835456384195, 0.0, -0.6362639430252306, 0.0, -0.3808088288212185]
normal_105_2021-12-11	normal	[1.1224495515105952, 0.0, 0.0, 0.7006643748894122, 0.0, -0.3860769332383153, -0.38209030383171916, 1.2558829018348088, 0.0, 0.0, 0.0, 0.0, -1.1650737414906418, 0.0, 1.2007747266851374, 0.0, -0.40449365585976155]
normal_106_2021-12-11	normal	[0.19476499346545756, 0.0, 0.0, -0.585071865049489, 0.0, -0.31916552364534045, -0.31526099078211217, 0.2707039758320394, 0.0, 0.0, 0.0, 0.0, -0.22151156866169594, 0.0, 0.3625446290455441, 0.0, -0.33850587679377164]
normal_107_2021-12-11	normal	[-1.567915123393021, 0.0, 0.0, -0.47949354555044316, 0.0, -0.3796905906220647, -0.3813988055442888, -1.9461360626882358, 0.0, 0.0, 0.0, 0.0, 1.869159186352737, 0.0, -1.3525801206922599, 0.0, -0.38069982512682876]
normal_108_2021-12-11	normal	[0.7399221552254228, 0.0, 0.0, -0.585071865049489, 0.0, -0.2920230886316741, -0.2898237175820575, 0.43798313161449753, 0.0, 0.0, 0.0, 0.0, -0.45547962314951085, 0.0, 0.6353469242458196, 0.0, -0.366152685204061]
normal_109_2021-12-11	normal	[0.7217347898687522, 0.0, 0.0, 0.2814339320438085, 0.0, -0.32630599492841095, -0.32453137087355965, 0.6281331266752629, 0.0, 0.0, 0.0, 0.0, -0.6072326378957694, 0.0, 0.7615934841542995, 0.0, -0.4009695252542603]
normal_10_2021-12-11	normal	[0.7230609463435943, 0.0, 0.0, -0.585071865049489, 0.0, -0.15513127991934403, -0.1517755350231705, 0.6160130173984116, 0.0, 0.0, 0.0, 0.0, -0.7316215031351849, 0.0, 1.096204455177641, 0.0, -0.22819844638244377]
normal_110_2021-12-11	normal	[-0.2840130412773787, 0.0, 0.0, 0.46305782199065143, 0.0, -0.30551085363580077, -0.3063115386176023, -0.05752829385139811, 0.0, 0.0, 0.0, 0.0, 0.18899974929887764, 0.0, -0.19568772747296603, 0.0, -0.3854654073085858]
normal_111_2021-12-11	normal	[-0.43981976840097775, 0.0, 0.0, -0.585071865049489, 0.0, -0.29748697072301533, -0.2986356260387537, -0.7577087977640642, 0.0, 0.0, 0.0, 0.0, 0.8808187087391413, 0.0, -0.9803132987027133, 0.0, -0.37820326680470684]
normal_112_2021-12-11	normal	[-1.6774896703552324, 0.0, 0.0, -0.41693753747474843, 0.0, -0.2758276825518008, -0.2762922079055897, -2.083773285043221, 0.0, 0.0, 0.0, 0.0, 2.0628496129286638, 0.0, -1.7766628647578984, 0.0, -0.22785803818942077]
normal_113_2021-12-11	normal	[0.7603721099062553, 0.0, 0.0, -0.3818046800559473, 0.0, -0.3295380467560419, -0.32551991591338686, 0.6500128752978541, 0.0, 0.0, 0.0, 0.0, -0.6249335031380163, 0.0, 0.7578582529834519, 0.0, -0.3483353662115958]
